environment_id,query_id,x_00,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,x_09,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,intervention_action,reference_action,target_construct
EXT0,0,-0.15549534713322252,0.12524021060148197,0.1029115591984075,-0.0467420766979646,-0.07520144831982455,-0.09751749999785359,0.21932089739150132,0.022812902999450022,0.019404371304035994,0.016232437505338027,-0.26448053897370644,-0.17780059104749302,0.10583771469416933,0.021129752384383832,-0.17536517005823515,0.2979944068333968,-0.03995585239636912,0.0035233792854865434,0.17334785690174448,0.02787206434770534,1,7,4
EXT0,1,-0.1789653696614821,0.22193556313327178,-0.16297491111504217,-0.08165862096130132,0.08393263680289667,0.1662111727290646,0.0840491807653447,0.052261358462415315,-0.21675795312411814,-0.020367341492378375,0.0005889295935960936,-0.23780765033770832,0.6270094244385906,-0.08613148016786268,-0.14185955375334286,0.12631232063560566,-0.0009475316744718753,-0.031479030091927686,-0.061951473442843505,0.16585814042185856,4,6,7
EXT0,2,0.18599827579614164,0.22186374428430541,0.03849558443511031,-0.20374332601582182,-0.16925867988714016,-0.0516247189798244,0.18013991999910878,0.03636094280024302,0.0030686839295865865,0.18448536770597745,-0.19597847396354107,-0.1589034058589613,0.3235505052902999,-0.21288298880296824,-0.047033283388405206,0.09233287351204232,0.017074176744690986,0.0001677960081593171,-0.0978678332416965,0.06465083282793627,6,7,16
EXT0,3,0.14182023723308737,-0.07054746053523968,0.27063980583948777,-0.11057272647135405,0.12805717225720636,-0.10350278656513459,0.04930433476209191,0.15829259830841297,-0.04467231302397318,-0.0588280736727624,-0.16979087916075947,-0.2257047325206944,0.05787570394441863,-0.04017635501510783,0.07226314714255487,0.012368245069068164,-0.016261584622476368,0.21474992864031217,0.1332968383388732,0.19311239313588824,2,0,15
EXT0,4,0.29137772676526014,-0.15411792371485836,0.04615874695191645,0.019418036156391663,-0.15040127396275157,-0.16108337426491648,0.04707092089162323,-0.08892522077776031,0.20745391532424912,0.005933641601119595,0.22514132197956785,0.004745437665004431,-0.24297125230333616,0.2023804289193772,-0.07709119907889352,-0.08297802871234244,0.027438115269952924,0.06187243794206859,0.305284963637612,-0.014488578852137593,4,7,14
EXT0,5,0.21076820498587084,0.38616149028968283,0.007267579959603518,-0.11871563578218607,-0.16845903782476945,0.20324944376743276,-0.10834464276816691,-0.02388795980348011,0.013495282491126966,0.32734788037520324,-0.14951120757283787,-0.03413646748068851,-0.10073985679063474,0.02231284227610439,-0.08057063078986657,-0.018067775161907853,-0.06028002190199732,0.1019263250799397,-0.02924235613437726,-0.2995561426355625,6,1,2
EXT0,6,0.20638300894728528,-0.05814237048544713,-0.08206800914390139,0.007677430208621581,0.1423899880721811,0.036371150444158944,0.08547665009402157,0.01131307222198748,0.09787127140834499,-0.004079758618019407,0.15106390489291502,0.05022420113491154,0.06814293905843911,0.3291338527050745,-0.07038464825572353,-0.07627840036304236,-0.028026097577943093,-0.10464171830474095,-0.10246923197920568,0.38217575257328906,7,2,15
EXT0,7,-0.05623267181454855,0.13369229717999992,0.002305756859363412,0.12970698454556256,0.06444749870472782,-0.02335913711371243,-0.15489004809236312,-0.1486456991744788,0.4006568872182443,-0.02406651044848179,0.25466732799377584,0.03589621134372733,0.5663913251830264,-0.0052115385794601335,-0.05772230809590198,0.10079425840106403,-0.09683314943328668,0.16330064255287505,0.12316757005775823,0.07650677411784307,1,2,13
EXT0,8,0.25948978377299586,-0.10421154373842957,0.1576254316956052,-0.06999846845654531,0.12863208425343903,-0.06408025813077989,0.0907720459758212,0.1392281202128269,0.1679547207956814,-0.06007785708153081,0.004026704953598586,-0.03946764339427936,0.15579494226138935,-0.10652458607999965,-0.15729104971704408,-0.12648209071445007,0.05939772334106599,0.09671721627657646,-0.06635015497785908,0.08912326929462407,4,5,17
EXT0,9,0.03554518613240169,-0.013108442091297723,0.16663359552397208,0.03336621250235011,0.021642935986309775,0.06185678476568055,-0.03401339938625064,-0.07934467112705128,-0.17874398392114296,-0.08999955611313454,-0.1539691524431163,-0.22103344706006162,0.31912801940881474,-0.08496738304965626,-0.17216402113031454,0.15816693578469293,0.23895514704867193,0.3452066075417626,0.14605888523663935,0.18015544024337443,5,3,14
EXT0,10,-0.15509533002792267,-0.03863994935301464,-0.14290533518087659,-0.3165788598799087,-0.04791016953626376,0.24659450884601328,0.23299117095644623,-0.022955901567247455,-0.16260186233318408,0.011397634234173355,-0.1805424739898247,-0.025337795573487486,0.5687526657710638,0.3710161244347219,0.03435213998178775,-0.051120173612152965,0.03881972573035906,0.09197177768415715,0.2954489178898334,-0.051383223557576206,0,4,17
EXT0,11,-0.047192620413677916,0.41747909976111924,0.17235818119854454,0.14294058593592016,0.0021142564943698048,-0.05944416809370385,-0.03744864683158402,0.016275452348350213,-0.39790993654808093,0.25749261748017127,-0.24075187527332817,-0.15839893659488136,0.04565855221778234,0.09475180908017791,-0.07219790741071204,-0.02225194022915591,0.0492674423843727,-0.02600185049495371,-0.1793456536819274,0.23321438036750042,7,6,10
EXT0,12,0.08517573375926997,0.037104842730669045,0.11519397933790881,0.053510065014874444,0.1797548001118732,-0.10420116246037864,0.13579142396067295,0.04192924899190097,-0.00905842060038087,-0.025277115511437666,-0.016297206969112975,0.08894076596991249,0.44323525999968894,-0.03658174013914583,-0.16690631673363024,0.07336821256201172,-0.16173095767257792,0.14284126932725302,0.2424462966231806,0.07260046124642336,3,6,12
EXT0,13,0.23442296880531435,-0.05370150543871333,0.3045253567284859,0.06201131178278939,-0.07936469545064774,0.008350149520157276,0.10790003991698169,-0.005503726339134072,0.0938498465536599,-0.051514506497272856,0.10311053706493285,0.0909949256150131,0.01887541645201849,0.1041334217689635,0.15468118155630994,0.019267139098381167,-0.1764539288156645,0.5252632412574779,-0.01410339520510734,-0.020344724162872942,4,6,16
EXT0,14,0.020130856977846372,0.13041453915565177,-0.014036552299927169,0.054164192787284196,-0.17827558762217466,0.013647117541284082,0.14134287750766333,0.10273667081889738,-0.22676029122615718,0.20438139445384376,-0.1047940965979806,0.059359885770055076,0.5588014125760247,0.06184572951569529,-0.14283462270566055,0.25170663332460713,-0.1833301906491722,0.04181000359332868,0.05356997911141857,-0.24196328732912178,0,5,2
EXT0,15,0.20397427535368923,0.1278926381364476,0.16144655698063437,0.14431397723297706,0.09553924441877112,-0.07575122851803336,-0.020095876535444295,-0.004169280183782222,-0.29599692874548533,0.040803914300086,-0.19669816965014997,0.05171491897156676,0.10343140035026406,0.06070297756845068,0.24956536503220011,-0.02490046914926663,-0.2311091319217387,-0.038466211750325205,0.08301732365603665,0.15515053676737264,0,1,14
EXT0,16,-0.0230153694510669,0.5308219715507343,0.027608013216942874,-0.07352916932657477,0.12995205213114494,-0.1499919410806385,0.10193368505169849,0.016838610507225616,-0.08792433488810449,0.0498287688965381,-0.034107672120336066,0.12845402783243798,0.23902628522189112,0.08614887901185084,0.2040081834143254,-0.0027666967287874648,0.18634967148954748,-0.24980263132449448,-0.11404633721117022,0.14095518772030632,5,1,17
EXT0,17,0.18148249078401923,-0.008335770924728737,-0.07252147933914894,0.07560682024723335,0.07312904253552295,-0.0671905348150413,-0.20926225603555182,-0.10046840708774822,-0.14486305359985183,-0.16170684480414912,-0.18040150036368707,-0.08051871156586622,0.4116175983896194,-0.09034886756760824,-0.14953717301308941,-0.2854380105340549,0.0436963376166189,-0.026473712935801707,0.02085658956526904,0.3216001288633566,5,0,0
EXT0,18,0.15179329718801718,0.10784762145364163,0.07721307649651178,0.16168290958399814,-0.0012890725935562222,0.0563685764766374,0.09399165422146893,-0.07674686052814217,-0.0968501451316437,-0.20849927660737072,-0.12822026992672148,-0.03433599406758866,0.15927140882099244,0.289530342970497,0.018146554196151448,0.060942239614682155,0.314062363802367,0.042026330963078985,-0.05756797931513643,0.39850276693507664,2,4,15
EXT0,19,0.14946960213448218,0.021632855070923006,-0.04071897578320389,0.035641857338170053,-0.07272869039460422,-0.16064896910586338,0.03598632423373555,-0.19812044342814308,-0.07554190698042168,0.21783376114315703,-0.09831497413324747,-0.17146436194684797,0.2959996386177704,0.06467878851600688,-0.08143005733928046,0.09234036387492665,0.10196240258254162,-0.1907665035495508,0.08629728189705771,-0.044171701703584934,5,3,9
