environment_id,query_id,tau_gt,paired_diff_sd,mc_se,running_tau_100,running_tau_250,running_tau_500,split_half_tau_first_250,split_half_tau_second_250
EXT0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,8,0.08119417750189058,0.005406468882141848,0.0002417846387741294,0.08133956391103958,0.08135890711597696,0.08119417750189058,0.08135890711597696,0.08102944788780418
EXT0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,10,-0.08093057177389201,0.005213077582649202,0.00023313591693567787,-0.08133812076510796,-0.0810032024266126,-0.08093057177389201,-0.0810032024266126,-0.08085794112117141
EXT0,11,0.15180859150316542,0.01731399034962381,0.0007743051876706838,0.149662218972311,0.15088418230698683,0.15180859150316542,0.15088418230698683,0.15273300069934403
EXT0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,16,-0.198547804841654,0.022451388182319214,0.001004056603298024,-0.19545824166247805,-0.19719953560301495,-0.198547804841654,-0.19719953560301495,-0.19989607408029306
EXT0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,18,-0.1258783381208872,0.009000896248903597,0.0004025323174194262,-0.12533276763513615,-0.1256065497546642,-0.1258783381208872,-0.1256065497546642,-0.12615012648711021
EXT0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,23,0.20624594245246847,0.011718730270711977,0.0005240775499059299,0.20680132732097425,0.20725744996748982,0.20624594245246847,0.20725744996748982,0.20523443493744709
EXT0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,32,0.12380934427909404,0.00833666713075895,0.0003728270882033028,0.12340674643557231,0.123483919462807,0.12380934427909404,0.123483919462807,0.12413476909538107
EXT0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXT1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
